id,created_at,empresa_id,DSProcesso,sincEventos,area,ano_dsprocesso
479,1690595110622,12,831.090/2023,1705923403847,,
480,1690595110622,12,831.091/2023,1705923847446,,
481,1690595110622,12,831.092/2023,1705924374344,,
482,1690595110622,12,831.216/2014,1719252388422,,
483,1690595125115,12,831.371/2023,1710880667678,,
484,1690595125115,12,831.372/2023,1710880667379,,
485,1690595125115,12,831.373/2023,1710880667165,,
486,1690595125115,12,831.374/2023,1710880666765,,
487,1690595125115,12,831.403/2023,1705923623341,,
488,1690595125115,12,831.404/2023,1705923832153,,
489,1690595125115,12,831.405/2023,1705922847950,,
490,1690595125115,12,831.406/2023,1705922828944,,
491,1690595125115,12,831.407/2023,1705923519644,,
492,1690595125115,12,831.408/2023,1705924266749,,
493,1690595125115,12,831.409/2023,1705923345345,,
494,1690595125115,12,831.411/2023,1705922578043,,
495,1690595125115,12,831.412/2023,1705923659444,,
496,1690595125115,12,831.414/2023,1705922622969,,
497,1690595125115,12,831.415/2023,1705923214942,,
498,1690595140395,12,831.416/2023,1705922949551,,
499,1690595140395,12,831.417/2023,1705923537651,,
500,1690595140395,12,831.418/2023,1705923175259,,
501,1690595140395,12,831.419/2023,1705922877953,,
502,1690595140395,12,831.420/2023,1705923420953,,
503,1690595140395,12,831.421/2023,1705923740440,,
504,1690595140395,12,831.422/2023,1705922801246,,
505,1690595140395,12,831.423/2023,1705922956047,,
506,1690595140395,12,831.424/2023,1705922455851,,
507,1690595140395,12,831.425/2023,1705923372143,,
508,1690595140395,12,831.426/2023,1705923696442,,
509,1690595140395,12,831.427/2023,1705923646153,,
510,1690595140395,12,831.428/2023,1705923736041,,
511,1690595140395,12,831.429/2023,1705924546861,,
512,1690595140395,12,831.430/2023,1705924474941,,
513,1690595155606,12,831.431/2023,1705923751957,,
514,1690595155606,12,831.442/2016,1719252387722,,
515,1690595155606,12,831.458/2020,1705924472046,,
516,1690595155606,12,831.765/2014,1719252386820,,
517,1690595155606,12,831.815/2023,1705923981942,,
518,1690595155606,12,831.825/2023,1705923712145,,
519,1690595155606,12,831.826/2023,1705923241152,,
520,1690595155606,12,831.827/2023,1705923600241,,
521,1690595155606,12,831.828/2023,1705923595542,,
522,1690595155606,12,831.829/2023,1705923632945,,
523,1690595155606,12,831.830/2023,1705923714346,,
524,1690595155606,12,831.831/2023,1705923708642,,
525,1690595155606,12,831.832/2023,1705922605948,,
526,1690595155606,12,831.833/2023,1705923639742,,
527,1690595155606,12,831.834/2023,1705923542352,,
528,1690595172473,12,831.835/2023,1705924656452,,
529,1690595172473,12,831.837/2023,1705923175758,,
530,1690595172473,12,831.838/2023,1705923449948,,
531,1690595172473,12,831.839/2023,1705922703443,,
532,1690595172473,12,831.840/2023,1705923666755,,
533,1690595172473,12,831.841/2023,1705922521762,,
534,1690595172473,12,831.842/2023,1705924359442,,
535,1690595172473,12,831.843/2023,1705923418446,,
536,1690595172473,12,831.844/2023,1705923678342,,
537,1690595172473,12,831.845/2023,1705924532442,,
538,1690595172473,12,831.846/2023,1705922950544,,
539,1690595172473,12,831.847/2023,1705922743355,,
540,1690595172473,12,831.848/2023,1705923294340,,
541,1690595172473,12,831.849/2023,1705923668849,,
542,1690595172473,12,831.850/2023,1705923576865,,
543,1690595186317,12,831.851/2023,1705923956561,,
544,1690595186317,12,831.852/2023,1705923990440,,
545,1690595186317,12,831.853/2023,1705922817753,,
546,1690595186317,12,831.854/2023,1705923599743,,
547,1690595186317,12,831.856/2023,1705922846244,,
548,1690595186317,12,831.857/2023,1705922940648,,
549,1690595186317,12,831.858/2023,1705924447641,,
550,1690595186317,12,831.859/2023,1705923760541,,
551,1690595186317,12,831.860/2023,1705922830041,,
552,1690595186317,12,831.861/2023,1705923400251,,
553,1690595186317,12,831.862/2023,1705922996949,,
554,1690595186317,12,831.863/2023,1705924300453,,
555,1690595186317,12,831.864/2023,1705923701645,,
556,1690595186317,12,831.865/2023,1705924261241,,
557,1690595186317,12,831.866/2023,1705923486748,,
558,1690595204457,12,832.069/2014,1723816897324,,
559,1690595204457,12,832.538/2022,1705923625945,,
560,1690595204457,12,832.539/2022,1705923952346,,
561,1690595204457,12,832.540/2022,1705922632271,,
562,1690595204457,12,832.541/2022,1705923717243,,
563,1690595204457,12,832.542/2022,1705924483143,,
564,1690595204457,12,833.042/2022,1705922744656,,
565,1690595204457,12,833.046/2022,1705924263752,,
566,1690595204457,12,833.047/2022,1705924103746,,
567,1690595204457,12,833.048/2022,1705923658351,,
568,1690595204457,12,833.049/2022,1705923428651,,
569,1690595204457,12,833.050/2022,1705923668446,,
570,1690595204457,12,833.051/2022,1705923252149,,
571,1690595204457,12,833.052/2022,1705923306041,,
572,1690595204457,12,833.053/2022,1705923968650,,
573,1690595219041,12,833.054/2022,1705923600743,,
574,1690595219041,12,833.056/2022,1705923661451,,
575,1690595219041,12,833.057/2022,1705923472742,,
576,1690595219041,12,833.058/2022,1705923967549,,
577,1690595219041,12,833.060/2022,1705923516848,,
578,1690595219041,12,833.062/2022,1705923957847,,
579,1690595219041,12,833.063/2022,1705923695347,,
580,1690595219041,12,833.065/2022,1705923925843,,
581,1690595219041,12,833.100/2022,1705924122642,,
582,1690595219041,12,866.051/2023,1705922786847,,
583,1690595219041,12,866.052/2023,1705922886742,,
584,1690595219041,12,866.054/2023,1705924559253,,
585,1690595219041,12,866.055/2023,1705923511556,,
586,1690595219041,12,870.212/2023,1705923754864,,
587,1690595219041,12,870.213/2023,1705922515751,,
588,1690595240518,12,870.214/2023,1705923420140,,
589,1690595240518,12,870.785/2020,1705922744148,,
590,1690595240518,12,870.870/2023,1705923064361,,
591,1690595240518,12,870.871/2023,1705922841954,,
592,1690595240518,12,870.872/2023,1705923418754,,
593,1690595240518,12,870.873/2023,1705923177458,,
594,1690595240518,12,870.874/2023,1705924553746,,
595,1690595240518,12,870.875/2023,1705923689245,,
596,1690595240518,12,870.877/2023,1705923579647,,
597,1690595240518,12,870.878/2023,1705922822454,,
598,1690595240518,12,870.879/2023,1705922548045,,
599,1690595240518,12,870.881/2023,1705924326847,,
600,1690595240518,12,870.882/2023,1705923833943,,
601,1690595240518,12,870.883/2023,1705923963441,,
602,1690595253545,12,870.884/2023,1705922824858,,
603,1690595253545,12,870.885/2023,1705923489973,,
604,1690595253545,12,870.886/2023,1705924261753,,
605,1690595253545,12,870.887/2023,1705922879952,,
606,1690595253545,12,870.888/2023,1705924275943,,
607,1690595253545,12,870.889/2023,1705922811962,,
608,1690595253545,12,870.890/2023,1705922828144,,
609,1690595253545,12,870.891/2023,1705922488553,,
610,1690595253545,12,870.892/2023,1705922663549,,
611,1690595253545,12,870.893/2023,1705922995942,,
612,1690595253545,12,870.894/2023,1705922911948,,
613,1690595253545,12,870.895/2023,1705922432646,,
614,1690595253545,12,870.896/2023,1705923536575,,
615,1690595253545,12,870.897/2023,1705922573447,,
616,1690595253545,12,870.898/2023,1705924517046,,
617,1690595266667,12,870.899/2023,1705923281369,,
618,1690595266667,12,870.900/2023,1705923970248,,
619,1690595266667,12,870.901/2023,1705923601055,,
620,1690595266667,12,870.902/2023,1705923656252,,
621,1690595266667,12,870.903/2023,1705922868946,,
622,1690595266667,12,870.904/2023,1705922695753,,
623,1690595266667,12,870.905/2023,1705922869447,,
624,1690595266667,12,870.906/2023,1705923294648,,
625,1690595266667,12,870.907/2023,1705922771747,,
626,1690595266667,12,870.908/2023,1705924257954,,
627,1690595266667,12,870.909/2023,1705923584853,,
628,1690595266667,12,870.910/2023,1705924559652,,
629,1690595266667,12,870.929/2020,1705922507652,,
630,1690595266667,12,870.934/2020,1710880666270,,
631,1690595266667,12,870.966/2020,1705923443147,,
632,1690595276623,12,880.191/2022,1705924264466,,
633,1690595276623,12,880.192/2022,1705923658948,,
634,1690595291756,12,831.938/2023,1705924349841,,
635,1690595291756,12,831.939/2023,1705922633059,,
636,1690595291756,12,831.940/2023,1705922976654,,
637,1690595291756,12,831.941/2023,1705923669945,,
638,1690595291756,12,831.942/2023,1705923780141,,
639,1690595291756,12,831.943/2023,1705922924647,,
640,1690595291756,12,831.944/2023,1705923242445,,
641,1690595291756,12,831.945/2023,1705923535154,,
642,1690595291756,12,831.946/2023,1705922848457,,
643,1690595291756,12,831.947/2023,1705922926846,,
644,1690595291756,12,831.948/2023,1705922899450,,
645,1690595291756,12,831.949/2023,1705923783443,,
646,1690595291756,12,831.950/2023,1705924251948,,
647,1690595291756,12,831.951/2023,1705923391156,,
648,1690595291756,12,831.952/2023,1705922609746,,
649,1690595307107,12,831.953/2023,1705923769443,,
650,1690595307107,12,831.954/2023,1705923661960,,
651,1690595307107,12,831.955/2023,1705923541862,,
652,1690595307107,12,831.956/2023,1705923699345,,
653,1690595307107,12,831.957/2023,1705924328741,,
654,1690595307107,12,831.967/2023,1705922728657,,
655,1690595307107,12,831.968/2023,1705923706042,,
656,1690595307107,12,831.969/2023,1705923660142,,
657,1690595307107,12,831.970/2023,1705924263909,,
658,1690595307107,12,831.971/2023,1705922981050,,
659,1690595307107,12,831.972/2023,1705923680744,,
660,1690595307107,12,831.973/2023,1705923630777,,
661,1690595307107,12,831.985/2023,1705922753353,,
662,1690595307107,12,831.986/2023,1705923672352,,
663,1690595307107,12,831.987/2023,1705923823641,,
664,1690595321786,12,831.988/2023,1705924269356,,
665,1690595321786,12,831.989/2023,1705923008247,,
666,1690595321786,12,831.990/2023,1705923463141,,
667,1690595321786,12,831.992/2023,1705922879047,,
668,1690595321786,12,831.993/2023,1705923396841,,
669,1690595321786,12,831.994/2023,1705923732249,,
670,1690595321786,12,831.995/2023,1705922990945,,
671,1690595321786,12,831.996/2023,1705923538143,,
672,1690595321786,12,831.997/2023,1705923453141,,
673,1690595321786,12,831.998/2023,1705923331071,,
674,1690595321786,12,831.999/2023,1705924356143,,
675,1690595321786,12,832.000/2023,1705923773541,,
676,1690595321786,12,832.001/2023,1705923597458,,
677,1690595321786,12,832.003/2023,1705923597946,,
678,1690595321786,12,832.005/2023,1705922763853,,
679,1690595335539,12,832.006/2023,1705923544861,,
680,1690595335539,12,832.007/2023,1705924185641,,
681,1690595335539,12,832.008/2023,1705923039555,,
682,1690595335539,12,832.009/2023,1705923745355,,
683,1690595335539,12,832.010/2023,1705924618441,,
684,1690595335539,12,832.011/2023,1705923954948,,
685,1690595335539,12,832.012/2023,1705923531369,,
686,1690595335539,12,832.013/2023,1705924250748,,
687,1690595335539,12,832.036/2023,1705923545948,,
688,1690595335539,12,832.037/2023,1705923738044,,
689,1690595335539,12,832.038/2023,1705922736740,,
690,1690595335539,12,832.039/2023,1705922996451,,
691,1690595335539,12,832.041/2023,1705923686545,,
692,1690595335539,12,832.040/2023,1705923415851,,
693,1690595335539,12,832.042/2023,1705923512156,,
694,1690595351749,12,832.043/2023,1705923521040,,
695,1690595351749,12,832.044/2023,1705923581148,,
696,1690595351749,12,832.045/2023,1705924377542,,
697,1690595351749,12,832.046/2023,1705923460859,,
698,1690595351749,12,832.047/2023,1705924397546,,
699,1690595351749,12,832.060/2023,1705923352154,,
700,1690595351749,12,832.061/2023,1705923351041,,
701,1690595351749,12,832.062/2023,1705923545541,,
702,1690595351749,12,832.063/2023,1705923470142,,
703,1690595351749,12,832.064/2023,1705922877361,,
704,1690595351749,12,832.065/2023,1705923533744,,
705,1690595351749,12,832.066/2023,1705923005756,,
